State Code,County Code,Site Number,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI
48,141,37,250 Rim Rd,Texas,El Paso,El Paso,2002-04-09,Parts per billion,19.625,38.0,1,36,Parts per million,0.0365,0.057,10,48,Parts per billion,0.708333,2.0,7,3.0,Parts per million,0.408333,0.5,8,6.0
6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2007-09-24,Parts per billion,5.826087,14.0,19,13,Parts per million,0.023125,0.041,10,35,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.291667,0.3,2,3.0
40,21,9002,"P.O. BOX 948   TAHLEQUAH, OK  74464",Oklahoma,Cherokee,Park Hill,2006-09-17,Parts per billion,3.73913,6.0,17,6,Parts per million,0.017167,0.026,0,22,Parts per billion,0.26087,1.0,0,1.0,Parts per million,0.0,0.0,0,0.0
42,3,10,CARNEGIE SCIENCE CENTER - 1 ALLEGHENY RD,Pennsylvania,Allegheny,Pittsburgh,2010-05-15,Parts per billion,7.833333,25.0,5,24,Parts per million,0.040792,0.05,10,42,Parts per billion,3.041667,6.0,9,9.0,Parts per million,0.4,0.4,0,5.0
48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,2005-06-27,Parts per billion,5.666667,13.0,20,12,Parts per million,0.04225,0.064,11,64,Parts per billion,0.583333,2.0,3,3.0,Parts per million,0.220833,0.3,19,3.0
6,25,5,"1029 ETHEL ST, CALEXICO HIGH SCHOOL",California,Imperial,Calexico,2009-01-20,Parts per billion,20.0,41.0,17,39,Parts per million,0.017042,0.033,9,28,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.770833,0.9,0,10.0
36,5,133,200TH STREET AND SOUTHERN BOULDVARD Pfizer Lab,New York,Bronx,New York,2009-07-04,Parts per billion,9.375,15.0,0,14,Parts per million,0.026458,0.032,10,27,Parts per billion,1.720833,2.8,0,3.0,Parts per million,0.2875,0.4,0,5.0
6,83,2011,"380 N FAIRVIEW AVENUE, GOLETA",California,Santa Barbara,Goleta,2009-01-20,Parts per billion,17.086957,36.0,9,34,Parts per million,0.013542,0.03,10,25,Parts per billion,0.043478,1.0,9,1.0,Parts per million,0.1125,0.3,10,3.0
25,25,42,HARRISON AVE,Massachusetts,Suffolk,Boston,2001-07-18,Parts per billion,20.666667,26.0,2,25,Parts per million,0.018417,0.034,11,29,Parts per billion,7.458333,14.0,7,20.0,Parts per million,0.125,0.3,0,3.0
4,19,1028,400 W RIVER ROAD,Arizona,Pima,Tucson,2012-05-21,Parts per billion,11.283333,24.2,8,23,Parts per million,0.039833,0.061,10,54,Parts per billion,0.1875,0.7,10,0.0,Parts per million,0.179167,0.3,9,3.0
5,119,7,PIKE AVE AT RIVER ROAD,Arkansas,Pulaski,North Little Rock,2013-10-14,Parts per billion,15.804167,33.3,18,31,Parts per million,0.01725,0.027,9,25,Parts per billion,1.5125,2.4,7,3.0,Parts per million,0.408333,0.5,17,6.0
19,163,15,10TH ST. & VINE ST. DAVENPORT,Iowa,Scott,Davenport,2007-07-08,Parts per billion,3.666667,6.3,7,6,Parts per million,0.035458,0.041,10,35,Parts per billion,0.395833,1.0,8,1.0,Parts per million,0.2,0.2,0,2.0
